Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Inactive duration (ms),Walking duration (ms)
00:00:00.000-07:00,00:15:00.000-07:00,,,,,,,,,,,
00:15:00.000-07:00,00:30:00.000-07:00,,,,,,,,,,,
00:30:00.000-07:00,00:45:00.000-07:00,,,,,,,,,,,
00:45:00.000-07:00,01:00:00.000-07:00,,,,,,,,,,,
01:00:00.000-07:00,01:15:00.000-07:00,,,,,,,,,,,
01:15:00.000-07:00,01:30:00.000-07:00,,,,,,,,,,,
01:30:00.000-07:00,01:45:00.000-07:00,,,,,,,,,,,
01:45:00.000-07:00,02:00:00.000-07:00,,,,,,,,,,,
02:00:00.000-07:00,02:15:00.000-07:00,,,,,,,,,,,
02:15:00.000-07:00,02:30:00.000-07:00,,,,,,,,,,,
02:30:00.000-07:00,02:45:00.000-07:00,,,,,,,,,,,
02:45:00.000-07:00,03:00:00.000-07:00,,,,,,,,,,,
03:00:00.000-07:00,03:15:00.000-07:00,,,,,,,,,,,
03:15:00.000-07:00,03:30:00.000-07:00,,,,,,,,,,,
03:30:00.000-07:00,03:45:00.000-07:00,,,,,,,,,,,
03:45:00.000-07:00,04:00:00.000-07:00,,,,,,,,,,,
04:00:00.000-07:00,04:15:00.000-07:00,,,,,,,,,,,
04:15:00.000-07:00,04:30:00.000-07:00,,,,,,,,,,,
04:30:00.000-07:00,04:45:00.000-07:00,,,,,,,,,,,
04:45:00.000-07:00,05:00:00.000-07:00,,,,,,,,,,,
05:00:00.000-07:00,05:15:00.000-07:00,,,,,,,,,,,
05:15:00.000-07:00,05:30:00.000-07:00,,,,,,,,,,,
05:30:00.000-07:00,05:45:00.000-07:00,,,,,,,,,,,
05:45:00.000-07:00,06:00:00.000-07:00,,,,,,,,,,,
06:00:00.000-07:00,06:15:00.000-07:00,,,,,,,,,,,
06:15:00.000-07:00,06:30:00.000-07:00,,,,,,,,,,,
06:30:00.000-07:00,06:45:00.000-07:00,,,,,,,,,,,
06:45:00.000-07:00,07:00:00.000-07:00,,,,,,,,,,,
07:00:00.000-07:00,07:15:00.000-07:00,,,,,,,,,,,
07:15:00.000-07:00,07:30:00.000-07:00,,,,,,,,,,,
07:30:00.000-07:00,07:45:00.000-07:00,,,,,,,,,,,
07:45:00.000-07:00,08:00:00.000-07:00,,,,,,,,,,,
08:00:00.000-07:00,08:15:00.000-07:00,,,,,,,,,,,
08:15:00.000-07:00,08:30:00.000-07:00,,,,,,,,,,,
08:30:00.000-07:00,08:45:00.000-07:00,,,,,,,,,,,
08:45:00.000-07:00,09:00:00.000-07:00,,,,,,,,,,,
09:00:00.000-07:00,09:15:00.000-07:00,,,,,,,,,,,
09:15:00.000-07:00,09:30:00.000-07:00,,,,,,,,,,,
09:30:00.000-07:00,09:45:00.000-07:00,,,,,,,,,,,
09:45:00.000-07:00,10:00:00.000-07:00,,,,,,,,,,,
10:00:00.000-07:00,10:15:00.000-07:00,,,,,,,,,,,
10:15:00.000-07:00,10:30:00.000-07:00,,,,,,,,,,,
10:30:00.000-07:00,10:45:00.000-07:00,,,,,,,,,,,
10:45:00.000-07:00,11:00:00.000-07:00,,,,,,,,,,,
11:00:00.000-07:00,11:15:00.000-07:00,,,,,,,,,,,
11:15:00.000-07:00,11:30:00.000-07:00,,,,,,,,,,,
11:30:00.000-07:00,11:45:00.000-07:00,,,,,,,,,,,
11:45:00.000-07:00,12:00:00.000-07:00,,,,,,,,,,,
12:00:00.000-07:00,12:15:00.000-07:00,,,,,,,,,,,
12:15:00.000-07:00,12:30:00.000-07:00,,,,,,,,,,,
12:30:00.000-07:00,12:45:00.000-07:00,,,,,,,,,,,
12:45:00.000-07:00,13:00:00.000-07:00,,,,,,,,,,,
13:00:00.000-07:00,13:15:00.000-07:00,,,,,,,,,,,
13:15:00.000-07:00,13:30:00.000-07:00,,,,,,,,,,,
13:30:00.000-07:00,13:45:00.000-07:00,,,,,,,,,,,
13:45:00.000-07:00,14:00:00.000-07:00,,,,,,,,,,,
14:00:00.000-07:00,14:15:00.000-07:00,,,,,,,,,,,
14:15:00.000-07:00,14:30:00.000-07:00,,,,,,,,,,,
14:30:00.000-07:00,14:45:00.000-07:00,,,,,,,,,,,
14:45:00.000-07:00,15:00:00.000-07:00,,,,,,,,,,,
15:00:00.000-07:00,15:15:00.000-07:00,,,,,,,,,,,
15:15:00.000-07:00,15:30:00.000-07:00,,,,,,,,,,,
15:30:00.000-07:00,15:45:00.000-07:00,,,,,,,,,,,
15:45:00.000-07:00,16:00:00.000-07:00,,,,,,,,,,,
16:00:00.000-07:00,16:15:00.000-07:00,,,,,,,,,,,
16:15:00.000-07:00,16:30:00.000-07:00,,,,,,,,,,,
16:30:00.000-07:00,16:45:00.000-07:00,,,,,,,,,,,
16:45:00.000-07:00,17:00:00.000-07:00,,,,,,,,,,,
17:00:00.000-07:00,17:15:00.000-07:00,,,,,,,,,,,
17:15:00.000-07:00,17:30:00.000-07:00,,,,,,,,,,,
17:30:00.000-07:00,17:45:00.000-07:00,,,,,,,,,,,
17:45:00.000-07:00,18:00:00.000-07:00,,,,,,,,,,,
18:00:00.000-07:00,18:15:00.000-07:00,,,,,,,,,,,
18:15:00.000-07:00,18:30:00.000-07:00,,,,,,,,,,,
18:30:00.000-07:00,18:45:00.000-07:00,,,,,,,,,,,
18:45:00.000-07:00,19:00:00.000-07:00,,,,,,,,,,,
19:00:00.000-07:00,19:15:00.000-07:00,,,,,,,,,,,
19:15:00.000-07:00,19:30:00.000-07:00,,,,,,,,,,,
19:30:00.000-07:00,19:45:00.000-07:00,,,,,,,,,,,
19:45:00.000-07:00,20:00:00.000-07:00,,,,,,,,,,,
20:00:00.000-07:00,20:15:00.000-07:00,,,,,,,,,,,
20:15:00.000-07:00,20:30:00.000-07:00,,,,,,,,,,,
20:30:00.000-07:00,20:45:00.000-07:00,,,,,,,,,,,
20:45:00.000-07:00,21:00:00.000-07:00,,,,,,,,,,,
21:00:00.000-07:00,21:15:00.000-07:00,,,,,,,,,,,
21:15:00.000-07:00,21:30:00.000-07:00,,,,,,,,,,,
21:30:00.000-07:00,21:45:00.000-07:00,1,2.622046451352924,24.98315478567379,,,0.4452945441007614,0.5803340077400208,0.3102550804615021,40,,34028
21:45:00.000-07:00,22:00:00.000-07:00,3,41.28384461961062,123.1413102030347,,,0.38651328748832964,0.8099155426025391,0.282440721988678,237,282297,469429
22:00:00.000-07:00,22:15:00.000-07:00,,16.296875,,,,,,,,900000,
22:15:00.000-07:00,22:30:00.000-07:00,,16.296875,,,,,,,,900000,
22:30:00.000-07:00,22:45:00.000-07:00,,16.296875,,,,,,,,900000,
22:45:00.000-07:00,23:00:00.000-07:00,,16.296875,,,,1.414617121219635,1.5189101696014404,1.3103240728378296,,900000,
23:00:00.000-07:00,23:15:00.000-07:00,,16.296875,,,,1.1764541864395142,1.2449012994766235,1.1080070734024048,,900000,
23:15:00.000-07:00,23:30:00.000-07:00,,16.296875,,,,1.1853320598602295,1.1853320598602295,1.1853320598602295,,900000,
23:30:00.000-07:00,23:45:00.000-07:00,,16.296875,,,,,,,,900000,
23:45:00.000-07:00,00:00:00.000-07:00,,16.296875,,,,,,,,900000,
